# x	y	u	v	flags	mask
8.2500e+02	3.7600e+02	1.3038e+02	7.8559e+01	0.0000e+00	0.0000e+00
2.7000e+01	3.5500e+02	4.2340e+00	-4.6131e+01	0.0000e+00	0.0000e+00
4.8000e+01	3.5500e+02	6.6986e+01	1.5299e+02	0.0000e+00	0.0000e+00
6.9000e+01	3.5500e+02	1.2906e+00	7.4365e+01	0.0000e+00	0.0000e+00
9.0000e+01	3.5500e+02	-8.0891e+01	6.7537e+01	0.0000e+00	0.0000e+00
1.1100e+02	3.5500e+02	-1.2193e+01	6.7751e+01	0.0000e+00	0.0000e+00
1.3200e+02	3.5500e+02	-1.0297e+02	-3.5190e+02	0.0000e+00	0.0000e+00
1.5300e+02	3.5500e+02	3.3689e+01	7.0139e+01	0.0000e+00	0.0000e+00
1.7400e+02	3.5500e+02	6.3069e+01	6.9898e+01	0.0000e+00	0.0000e+00
1.9500e+02	3.5500e+02	-8.0122e+01	6.9342e+01	0.0000e+00	0.0000e+00
2.1600e+02	3.5500e+02	-1.5071e+02	6.9156e+01	0.0000e+00	0.0000e+00
2.3700e+02	3.5500e+02	-2.7682e+02	6.8666e+01	0.0000e+00	0.0000e+00
2.5800e+02	3.5500e+02	1.4971e+02	6.7537e+01	0.0000e+00	0.0000e+00
2.7900e+02	3.5500e+02	-4.5322e+01	6.8226e+01	0.0000e+00	0.0000e+00
3.0000e+02	3.5500e+02	-7.0058e+01	6.9253e+01	0.0000e+00	0.0000e+00
3.2100e+02	3.5500e+02	3.6797e+01	-2.4283e+02	0.0000e+00	0.0000e+00
3.4200e+02	3.5500e+02	-1.6385e-01	-1.5870e+02	0.0000e+00	0.0000e+00
3.6300e+02	3.5500e+02	-7.3524e+01	7.2107e+01	0.0000e+00	0.0000e+00
3.8400e+02	3.5500e+02	7.5655e+01	7.8406e+01	0.0000e+00	0.0000e+00
4.0500e+02	3.5500e+02	-5.7967e+00	-8.2566e+01	0.0000e+00	0.0000e+00
4.2600e+02	3.5500e+02	-3.7863e+00	-7.0716e+01	0.0000e+00	0.0000e+00
4.4700e+02	3.5500e+02	1.0863e+01	6.9905e+01	0.0000e+00	0.0000e+00
4.6800e+02	3.5500e+02	-8.4262e+01	6.9523e+01	0.0000e+00	0.0000e+00
4.8900e+02	3.5500e+02	-8.4561e+01	6.9226e+01	0.0000e+00	0.0000e+00
5.1000e+02	3.5500e+02	-8.7251e+01	6.8801e+01	0.0000e+00	0.0000e+00
5.3100e+02	3.5500e+02	2.8554e+02	6.8980e+01	0.0000e+00	0.0000e+00
5.5200e+02	3.5500e+02	-6.8635e+01	6.8886e+01	0.0000e+00	0.0000e+00
